road_type,weather,light,traffic,temperature,battery,vehicle_weight,correct_action,predicted_action,verdict
Highway,Sunny,day,high,30,36,1667.33,Maintain speed,Turn on headlights,Risky
Semi Urban,Foggy,day,no,17,15,1879.39,Activate hazard lights,Reduce speed,Risky
Rural,Foggy,night,no,22,88,1618.1,Turn on headlights,Pull over,Risky
Semi Urban,Sunny,day,moderate,36,42,1791.27,Maintain speed,Pull over,Risky
Highway,Sunny,day,moderate,-2,88,2464.99,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,no,20,19,1545.28,Turn on headlights,Maintain speed,Risky
Semi Urban,Sunny,night,moderate,3,27,2273.34,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,-3,100,1543.9,Reduce speed,Reduce speed,Optimal
Highway,Snow,night,moderate,-1,32,2462.52,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,moderate,38,91,2039.05,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,no,-4,62,2291.79,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,18,93,1639.06,Turn on headlights,Maintain speed,Risky
Highway,Snow,day,no,1,27,2140.24,Activate hazard lights,Turn on headlights,Risky
Highway,Foggy,day,moderate,25,96,1523.32,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,19,13,1583.12,Pull over,Pull over,Optimal
Rural,Sunny,day,moderate,17,57,2195.03,Maintain speed,Turn on headlights,Risky
Highway,Rainy,night,moderate,8,35,1534.36,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,moderate,4,46,2347.79,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,19,88,1883.54,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,no,32,94,1629.62,Turn on headlights,Reduce speed,Risky
Rural,Foggy,night,high,20,19,2251.71,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,high,3,19,1892.2,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,day,no,11,13,2083.67,Pull over,Activate hazard lights,Acceptable
Highway,Sunny,day,no,0,51,2176.56,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,0,86,1982.42,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,no,-9,31,1726.13,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,moderate,-6,92,2015.46,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,high,-10,64,1950.0,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,high,25,97,2143.52,Reduce speed,Reduce speed,Optimal
Highway,Sunny,day,high,38,80,1631.23,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,-9,69,1889.28,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,30,52,2345.34,Maintain speed,Maintain speed,Optimal
Highway,Sunny,day,no,3,29,1985.16,Activate hazard lights,Maintain speed,Risky
Semi Urban,Rainy,night,high,38,95,1832.87,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,high,23,84,1617.49,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Sunny,night,high,15,74,1877.95,Reduce speed,Turn on headlights,Risky
Rural,Sunny,night,high,-10,88,2488.19,Reduce speed,Activate hazard lights,Acceptable
Rural,Sunny,night,moderate,1,19,1670.69,Turn on headlights,Pull over,Risky
Rural,Sunny,night,high,35,86,1660.35,Reduce speed,Reduce speed,Optimal
Rural,Foggy,day,high,19,62,1818.87,Maintain speed,Reduce speed,Risky
Rural,Rainy,day,no,10,83,1933.69,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,day,high,-2,64,2181.15,Reduce speed,Activate hazard lights,Acceptable
Rural,Rainy,day,high,32,54,2091.68,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,22,69,2426.87,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,moderate,11,30,1752.69,Turn on headlights,Maintain speed,Risky
Rural,Rainy,night,high,10,55,1605.44,Reduce speed,Maintain speed,Risky
Highway,Foggy,night,high,-1,11,1641.13,Pull over,Pull over,Optimal
Highway,Foggy,night,high,-8,23,2113.21,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,high,21,77,2173.34,Reduce speed,Maintain speed,Risky
Rural,Snow,day,moderate,5,31,1943.23,Maintain speed,Turn on headlights,Risky
Rural,Sunny,day,moderate,23,95,2447.05,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,no,8,36,2066.52,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,high,36,30,2336.68,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,high,30,86,1975.47,Reduce speed,Pull over,Risky
Semi Urban,Rainy,night,moderate,23,58,1501.73,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,moderate,16,19,1645.45,Reduce speed,Pull over,Risky
Rural,Foggy,night,no,6,64,1671.89,Turn on headlights,Reduce speed,Risky
Rural,Sunny,day,high,-7,97,2075.39,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,day,no,1,85,2180.42,Maintain speed,Pull over,Risky
Rural,Sunny,night,moderate,20,46,2480.47,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,day,no,29,69,2421.34,Maintain speed,Pull over,Risky
Highway,Sunny,day,high,-7,10,2069.42,Pull over,Maintain speed,Unsafe
Semi Urban,Foggy,day,high,37,99,1848.75,Maintain speed,Pull over,Risky
Rural,Rainy,night,moderate,36,98,1661.05,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,day,moderate,-5,19,1974.62,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,no,27,92,1856.67,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Foggy,day,high,23,96,2099.61,Maintain speed,Pull over,Risky
Semi Urban,Rainy,night,moderate,29,60,1810.79,Turn on headlights,Reduce speed,Risky
Rural,Sunny,night,high,17,59,2186.39,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,high,31,16,2383.19,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,no,14,49,1966.31,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,no,29,80,2157.3,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,39,83,1920.0,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,high,2,16,1582.35,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,moderate,2,76,1552.4,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,moderate,23,54,2248.58,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,day,high,8,10,2091.5,Pull over,Pull over,Optimal
Highway,Sunny,day,moderate,-9,44,2219.04,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,high,36,50,1922.91,Reduce speed,Pull over,Risky
Semi Urban,Foggy,day,moderate,-9,55,2337.08,Maintain speed,Pull over,Risky
Semi Urban,Foggy,day,no,18,56,1854.48,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,high,37,18,2162.16,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,moderate,23,52,1965.3,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,day,no,-9,97,1559.8,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,high,20,92,2484.38,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,moderate,38,36,1754.89,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,15,39,2305.83,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,night,high,18,63,1654.93,Reduce speed,Pull over,Risky
Semi Urban,Sunny,night,no,8,10,2339.55,Pull over,Reduce speed,Risky
Rural,Rainy,day,moderate,-1,79,1876.19,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,37,71,2467.96,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,no,38,30,1508.37,Turn on headlights,Maintain speed,Risky
Rural,Foggy,day,no,12,100,1517.48,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,moderate,34,71,2119.07,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,high,18,90,1806.98,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,moderate,33,28,1682.1,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,day,high,4,43,1872.09,Maintain speed,Pull over,Risky
Semi Urban,Sunny,night,no,34,18,1943.15,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,moderate,14,64,1617.05,Maintain speed,Maintain speed,Optimal
Rural,Rainy,day,no,20,64,1757.75,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,18,46,2306.37,Reduce speed,Turn on headlights,Risky
Semi Urban,Snow,day,high,4,56,1669.73,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,high,34,41,1755.64,Maintain speed,Activate hazard lights,Risky
Rural,Rainy,day,moderate,-2,89,2388.8,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,day,high,25,35,2467.53,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,high,30,17,2470.07,Reduce speed,Maintain speed,Risky
Highway,Sunny,night,moderate,22,50,1844.37,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,28,53,2370.93,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,high,14,42,1552.66,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,high,25,22,2349.63,Reduce speed,Maintain speed,Risky
Rural,Sunny,day,high,17,64,1956.24,Maintain speed,Maintain speed,Optimal
Rural,Sunny,day,moderate,21,27,1956.12,Activate hazard lights,Activate hazard lights,Optimal
Highway,Rainy,day,no,-9,42,1940.45,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,39,17,2166.55,Activate hazard lights,Turn on headlights,Risky
Rural,Sunny,night,no,31,73,1537.95,Turn on headlights,Maintain speed,Risky
Rural,Rainy,day,no,-2,62,2405.03,Maintain speed,Maintain speed,Optimal
Highway,Rainy,day,high,23,78,1512.04,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,moderate,8,27,1862.54,Turn on headlights,Maintain speed,Risky
Rural,Sunny,day,no,15,63,1753.28,Maintain speed,Turn on headlights,Risky
Highway,Sunny,day,high,22,69,2045.17,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,14,50,2041.42,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,no,2,72,2370.65,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,30,71,1736.54,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,17,22,1886.11,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,high,-6,46,1840.08,Reduce speed,Activate hazard lights,Acceptable
Highway,Rainy,night,high,12,48,1937.5,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,day,no,24,57,1913.74,Maintain speed,Activate hazard lights,Risky
Rural,Sunny,day,moderate,23,48,1964.71,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,moderate,3,98,1542.37,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,day,no,38,52,1864.03,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,high,29,79,2153.26,Maintain speed,Turn on headlights,Risky
Rural,Foggy,night,moderate,3,51,2488.93,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,night,no,-5,83,2367.25,Reduce speed,Pull over,Risky
Semi Urban,Rainy,day,moderate,39,94,1711.36,Reduce speed,Reduce speed,Optimal
Highway,Rainy,night,high,32,73,1817.24,Reduce speed,Pull over,Risky
Highway,Rainy,night,high,18,46,2177.41,Reduce speed,Reduce speed,Optimal
Highway,Snow,day,moderate,2,37,2322.46,Maintain speed,Maintain speed,Optimal
Rural,Foggy,day,moderate,2,68,1599.53,Maintain speed,Pull over,Risky
Highway,Rainy,day,no,8,22,1941.49,Activate hazard lights,Pull over,Risky
Semi Urban,Foggy,day,no,31,17,1913.18,Activate hazard lights,Activate hazard lights,Optimal
Semi Urban,Foggy,night,high,-3,23,2358.8,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,36,91,1620.83,Maintain speed,Maintain speed,Optimal
Rural,Sunny,night,no,-2,41,2376.45,Turn on headlights,Turn on headlights,Optimal
Highway,Sunny,night,moderate,19,17,1544.94,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,night,high,-8,63,1989.19,Reduce speed,Activate hazard lights,Acceptable
Highway,Foggy,day,high,36,91,2214.63,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,27,81,2273.29,Maintain speed,Activate hazard lights,Risky
Highway,Sunny,day,moderate,34,39,2128.26,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,8,15,1858.2,Activate hazard lights,Activate hazard lights,Optimal
Rural,Sunny,day,moderate,5,56,1958.74,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,16,77,2450.65,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,30,41,1992.96,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,day,moderate,-6,85,2230.69,Reduce speed,Maintain speed,Risky
Highway,Sunny,day,high,2,24,1611.37,Activate hazard lights,Activate hazard lights,Optimal
Rural,Rainy,day,high,12,78,1992.36,Reduce speed,Reduce speed,Optimal
Rural,Foggy,night,no,-1,27,2056.61,Turn on headlights,Pull over,Risky
Rural,Rainy,night,moderate,19,35,1903.68,Turn on headlights,Reduce speed,Risky
Highway,Sunny,night,high,-3,42,1630.64,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,-10,65,2044.31,Maintain speed,Maintain speed,Optimal
Semi Urban,Foggy,night,no,-9,73,1957.14,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,4,19,1965.02,Turn on headlights,Pull over,Risky
Rural,Sunny,night,moderate,15,31,1889.51,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,moderate,34,37,2339.69,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,moderate,15,69,1810.24,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,night,moderate,13,29,2230.11,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,moderate,12,36,2079.8,Turn on headlights,Maintain speed,Risky
Highway,Rainy,night,high,30,74,1877.86,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,-2,31,2360.76,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,moderate,18,47,2409.52,Maintain speed,Reduce speed,Risky
Highway,Rainy,day,no,22,12,1960.1,Pull over,Pull over,Optimal
Rural,Foggy,night,moderate,20,34,2022.74,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,no,-10,43,1795.65,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,no,8,21,1656.06,Activate hazard lights,Reduce speed,Risky
Rural,Snow,night,moderate,-10,30,1600.97,Reduce speed,Pull over,Risky
Rural,Sunny,night,moderate,15,84,1805.23,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,day,high,-1,38,2277.52,Maintain speed,Pull over,Risky
Highway,Rainy,day,high,11,58,1876.64,Reduce speed,Reduce speed,Optimal
Rural,Rainy,night,high,10,59,2302.06,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,moderate,19,63,1627.49,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,22,30,1975.11,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,high,11,13,2085.72,Pull over,Pull over,Optimal
Semi Urban,Sunny,night,high,6,31,1603.25,Reduce speed,Maintain speed,Risky
Highway,Rainy,day,moderate,28,79,1667.62,Reduce speed,Maintain speed,Risky
Rural,Rainy,day,no,-2,54,2487.65,Maintain speed,Activate hazard lights,Risky
Rural,Foggy,night,no,29,52,1965.32,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,day,moderate,3,92,2454.58,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,moderate,20,70,1990.54,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,3,82,1842.55,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,9,17,1881.78,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,-10,78,2439.81,Reduce speed,Maintain speed,Risky
Rural,Foggy,night,moderate,36,21,1669.35,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,moderate,22,51,1968.48,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,moderate,24,20,1516.24,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,moderate,14,96,2002.35,Turn on headlights,Pull over,Risky
Semi Urban,Sunny,day,high,26,28,1823.52,Activate hazard lights,Reduce speed,Risky
Highway,Foggy,day,no,-8,97,2114.39,Maintain speed,Activate hazard lights,Risky
Highway,Rainy,night,no,-2,37,2230.34,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,no,21,39,1949.73,Turn on headlights,Reduce speed,Risky
Rural,Sunny,night,no,-7,19,1954.14,Turn on headlights,Maintain speed,Risky
Highway,Foggy,day,no,-1,86,2006.71,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,moderate,17,92,2416.29,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,no,15,12,1692.07,Pull over,Turn on headlights,Risky
Semi Urban,Foggy,night,no,21,34,2136.63,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,high,11,86,2051.67,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,day,high,10,22,1618.59,Activate hazard lights,Activate hazard lights,Optimal
Highway,Foggy,night,high,17,100,2437.19,Reduce speed,Maintain speed,Risky
Semi Urban,Rainy,day,moderate,27,92,1746.94,Reduce speed,Maintain speed,Risky
Rural,Rainy,night,moderate,15,63,1835.6,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,no,38,28,2185.08,Activate hazard lights,Activate hazard lights,Optimal
Highway,Sunny,day,high,11,35,2010.58,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,moderate,25,55,2134.6,Reduce speed,Pull over,Risky
Highway,Rainy,day,high,20,82,1744.93,Reduce speed,Maintain speed,Risky
Semi Urban,Rainy,day,no,35,15,2495.2,Activate hazard lights,Pull over,Risky
Semi Urban,Snow,night,moderate,3,91,2071.26,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,moderate,-4,37,2123.75,Turn on headlights,Turn on headlights,Optimal
Rural,Snow,night,moderate,-9,41,2197.6,Reduce speed,Reduce speed,Optimal
Rural,Sunny,night,moderate,0,71,2047.38,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,no,35,78,2243.08,Turn on headlights,Maintain speed,Risky
Highway,Rainy,day,moderate,10,11,2454.61,Pull over,Pull over,Optimal
Highway,Snow,night,high,5,84,2402.04,Reduce speed,Reduce speed,Optimal
Highway,Foggy,day,moderate,-1,12,1737.92,Pull over,Pull over,Optimal
Highway,Rainy,night,high,0,52,2083.95,Reduce speed,Turn on headlights,Risky
Semi Urban,Foggy,night,no,28,12,1610.17,Pull over,Pull over,Optimal
Semi Urban,Rainy,day,no,21,40,1618.31,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,21,37,2056.72,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,no,6,32,1748.95,Turn on headlights,Maintain speed,Risky
Highway,Sunny,night,no,3,78,1699.88,Turn on headlights,Pull over,Risky
Highway,Sunny,night,moderate,33,76,2252.44,Turn on headlights,Pull over,Risky
Highway,Foggy,day,no,17,83,2378.81,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,high,21,39,1591.08,Reduce speed,Turn on headlights,Risky
Highway,Sunny,night,high,6,46,2029.59,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,2,44,1582.99,Maintain speed,Reduce speed,Risky
Highway,Sunny,day,high,26,13,2286.14,Pull over,Turn on headlights,Risky
Semi Urban,Snow,night,moderate,-6,75,2403.07,Reduce speed,Turn on headlights,Risky
Rural,Sunny,night,no,31,21,1724.3,Turn on headlights,Reduce speed,Risky
Semi Urban,Rainy,night,moderate,-7,90,2254.92,Turn on headlights,Turn on headlights,Optimal
Rural,Sunny,night,no,13,79,2300.24,Turn on headlights,Activate hazard lights,Risky
Highway,Foggy,night,no,17,69,1572.31,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,moderate,10,85,2282.32,Turn on headlights,Turn on headlights,Optimal
Rural,Rainy,night,high,37,31,1635.86,Reduce speed,Reduce speed,Optimal
Highway,Foggy,night,no,17,59,1700.4,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,day,no,-4,99,2007.53,Maintain speed,Maintain speed,Optimal
Semi Urban,Rainy,night,high,11,88,2428.67,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,13,76,2319.17,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,moderate,8,75,1993.86,Maintain speed,Reduce speed,Risky
Semi Urban,Rainy,night,no,10,76,2415.79,Turn on headlights,Reduce speed,Risky
Semi Urban,Foggy,day,no,19,80,2289.49,Maintain speed,Activate hazard lights,Risky
Highway,Foggy,night,moderate,-3,87,2208.76,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,28,40,2352.33,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,moderate,-6,14,2167.24,Pull over,Pull over,Optimal
Rural,Sunny,night,high,12,73,2240.63,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,26,80,2240.72,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,moderate,29,44,2265.97,Turn on headlights,Reduce speed,Risky
Rural,Rainy,day,no,25,58,2222.2,Maintain speed,Pull over,Risky
Rural,Snow,day,moderate,-4,90,1934.74,Reduce speed,Pull over,Risky
Rural,Rainy,day,no,31,71,1951.45,Maintain speed,Activate hazard lights,Risky
Semi Urban,Sunny,day,moderate,5,75,2420.54,Maintain speed,Pull over,Risky
Semi Urban,Rainy,night,no,23,54,2002.16,Turn on headlights,Activate hazard lights,Risky
Highway,Rainy,day,no,26,98,1999.13,Maintain speed,Maintain speed,Optimal
Highway,Foggy,night,no,27,56,1929.23,Turn on headlights,Maintain speed,Risky
Semi Urban,Rainy,day,high,29,52,1744.98,Reduce speed,Maintain speed,Risky
Semi Urban,Sunny,night,high,34,75,1531.46,Reduce speed,Turn on headlights,Risky
Rural,Sunny,night,no,4,36,1799.25,Turn on headlights,Turn on headlights,Optimal
Highway,Snow,day,no,-2,75,1532.07,Reduce speed,Maintain speed,Risky
Semi Urban,Foggy,night,moderate,36,35,1908.23,Turn on headlights,Reduce speed,Risky
Highway,Sunny,night,high,11,46,1936.59,Reduce speed,Reduce speed,Optimal
Semi Urban,Rainy,night,high,23,93,1576.76,Reduce speed,Reduce speed,Optimal
Highway,Rainy,day,no,30,62,2227.93,Maintain speed,Pull over,Risky
Semi Urban,Sunny,day,high,12,69,2034.83,Maintain speed,Reduce speed,Risky
Semi Urban,Sunny,day,high,-7,90,2389.1,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,day,high,27,88,2186.78,Maintain speed,Pull over,Risky
Highway,Rainy,night,no,33,14,1895.05,Pull over,Pull over,Optimal
Rural,Foggy,day,no,38,46,2381.34,Maintain speed,Activate hazard lights,Risky
Rural,Sunny,day,no,33,33,2044.5,Maintain speed,Reduce speed,Risky
Rural,Sunny,day,high,38,82,1729.88,Maintain speed,Pull over,Risky
Rural,Sunny,night,moderate,8,21,1579.32,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,day,high,31,91,2473.81,Maintain speed,Reduce speed,Risky
Rural,Rainy,night,moderate,-7,23,1760.83,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,day,high,14,73,2206.93,Maintain speed,Turn on headlights,Risky
Highway,Snow,night,high,-8,62,2075.52,Reduce speed,Turn on headlights,Risky
Highway,Rainy,day,high,30,53,1580.08,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,high,24,78,1898.24,Reduce speed,Pull over,Risky
Semi Urban,Rainy,night,high,28,88,1956.22,Reduce speed,Reduce speed,Optimal
Highway,Sunny,night,no,16,87,1881.03,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,night,moderate,28,81,1703.28,Turn on headlights,Turn on headlights,Optimal
Highway,Foggy,night,no,0,56,1922.69,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,no,-4,43,2113.49,Maintain speed,Maintain speed,Optimal
Semi Urban,Sunny,night,high,1,46,2179.11,Reduce speed,Reduce speed,Optimal
Rural,Rainy,day,no,32,15,1970.22,Activate hazard lights,Pull over,Risky
Semi Urban,Rainy,night,moderate,-10,94,2333.2,Turn on headlights,Pull over,Risky
Highway,Sunny,night,moderate,18,100,2275.08,Turn on headlights,Pull over,Risky
Semi Urban,Foggy,night,high,28,46,2134.44,Reduce speed,Reduce speed,Optimal
Rural,Sunny,day,moderate,12,45,2282.6,Maintain speed,Turn on headlights,Risky
Rural,Foggy,night,moderate,33,55,1556.56,Turn on headlights,Activate hazard lights,Risky
Rural,Rainy,day,high,9,43,1706.74,Reduce speed,Pull over,Risky
Highway,Sunny,night,no,34,82,1951.29,Turn on headlights,Reduce speed,Risky
Highway,Rainy,day,high,30,90,2331.61,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,night,moderate,-10,72,1625.39,Turn on headlights,Maintain speed,Risky
Rural,Rainy,night,moderate,0,95,1844.18,Turn on headlights,Pull over,Risky
Highway,Sunny,night,no,23,96,1630.73,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Rainy,day,high,6,79,2003.02,Reduce speed,Activate hazard lights,Acceptable
Rural,Foggy,day,moderate,32,70,2386.65,Maintain speed,Maintain speed,Optimal
Highway,Sunny,night,moderate,-9,39,1540.47,Turn on headlights,Activate hazard lights,Risky
Rural,Sunny,night,no,-4,25,2286.01,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Sunny,night,moderate,37,84,1809.74,Turn on headlights,Turn on headlights,Optimal
Rural,Foggy,night,moderate,8,31,2364.23,Turn on headlights,Reduce speed,Risky
Highway,Foggy,day,no,-2,54,2327.97,Maintain speed,Reduce speed,Risky
Rural,Foggy,day,high,34,37,1557.52,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,no,-4,96,2338.0,Turn on headlights,Turn on headlights,Optimal
Highway,Rainy,day,high,23,92,1725.95,Reduce speed,Turn on headlights,Risky
Semi Urban,Sunny,day,high,21,48,1884.62,Maintain speed,Maintain speed,Optimal
Highway,Foggy,day,high,33,16,2078.74,Activate hazard lights,Reduce speed,Risky
Highway,Foggy,day,high,19,56,2437.97,Maintain speed,Maintain speed,Optimal
Rural,Foggy,night,high,38,65,1770.69,Reduce speed,Reduce speed,Optimal
Highway,Snow,day,high,3,95,1960.25,Maintain speed,Activate hazard lights,Risky
Semi Urban,Rainy,day,high,8,64,1566.35,Reduce speed,Activate hazard lights,Acceptable
Rural,Foggy,night,moderate,20,96,2251.41,Turn on headlights,Turn on headlights,Optimal
Semi Urban,Rainy,night,no,17,75,1895.24,Turn on headlights,Activate hazard lights,Risky
Semi Urban,Foggy,day,no,26,10,1882.25,Pull over,Maintain speed,Unsafe
Semi Urban,Rainy,day,moderate,38,28,2449.62,Reduce speed,Reduce speed,Optimal
Semi Urban,Foggy,day,no,31,43,1941.86,Maintain speed,Maintain speed,Optimal
Highway,Rainy,night,high,-9,79,1595.44,Reduce speed,Activate hazard lights,Acceptable
Semi Urban,Foggy,night,high,19,22,1518.94,Reduce speed,Reduce speed,Optimal
Semi Urban,Sunny,day,high,13,98,2403.13,Maintain speed,Maintain speed,Optimal
Rural,Rainy,night,high,16,57,2145.2,Reduce speed,Pull over,Risky
Semi Urban,Sunny,night,moderate,-10,31,1510.35,Turn on headlights,Maintain speed,Risky
